Row, Data
1,1.370370
2,1.369630
3,1.368889
4,1.368148
5,1.367407
6,1.366667
7,1.365926
8,1.365185
9,1.364444
10,1.363704
11,1.362963
12,1.362222
13,1.361481
14,1.360741
15,1.360000
16,1.359259
17,1.358519
18,1.357778
19,1.357037
20,1.356296
21,1.355556
22,1.354815
23,1.354074
24,1.353333
25,1.352593
26,1.351852
27,1.351111
28,1.350370
29,1.349630
30,1.348889
31,1.348148
32,1.347407
33,1.346667
34,1.345926
35,1.345185
36,1.344444
37,1.343704
38,1.342963
39,1.342222
40,1.341481
41,1.340741
42,1.340000
43,1.339259
44,1.338519
45,1.337778
46,1.337037
47,1.336296
48,1.335556
49,1.334815
50,1.334074
51,1.333333
52,1.332593
53,1.331852
54,1.331111
55,1.330370
56,1.329630
57,1.328889
58,1.328148
59,1.327407
60,1.326667
61,1.325926
62,1.325185
63,1.324444
64,1.323704
65,1.322963
66,1.322222
67,1.321481
68,1.320741
69,1.320000
70,1.319259
71,1.318519
72,1.317778
73,1.317037
74,1.316296
75,1.315556
76,1.314815
77,1.314074
78,1.313333
79,1.312593
80,1.311852
81,1.311111
82,1.310370
83,1.309630
84,1.308889
85,1.308148
86,1.307407
87,1.306667
88,1.305926
89,1.305185
90,1.304444
91,1.303704
92,1.302963
93,1.302222
94,1.301481
95,1.300741
96,1.300000
97,1.299259
98,1.298519
99,1.297778
100,1.297037
101,1.296296
102,1.295556
103,1.294815
104,1.294074
105,1.293333
106,1.292593
107,1.291852
108,1.291111
109,1.290370
110,1.289630
111,1.288889
112,1.288148
113,1.287407
114,1.286667
115,1.285926
116,1.285185
117,1.284444
118,1.283704
119,1.282963
120,1.282222
121,1.281481
122,1.280741
123,1.280000
124,1.279259
125,1.278519
126,1.277778
127,1.277037
128,1.276296
129,1.275556
130,1.274815
131,1.274074
132,1.273333
133,1.272593
134,1.271852
135,1.271111
136,1.270370
137,1.269630
138,1.268889
139,1.268148
140,1.267407
141,1.266667
142,1.265926
143,1.265185
144,1.264444
145,1.263704
146,1.262963
147,1.262222
148,1.261481
149,1.260741
150,1.260000
151,1.259259
152,1.258519
153,1.257778
154,1.257037
155,1.256296
156,1.255556
157,1.254815
158,1.254074
159,1.253333
160,1.252593
161,1.251852
162,1.251111
163,1.250370
164,1.249630
165,1.248889
166,1.248148
167,1.247407
168,1.246667
169,1.245926
170,1.245185
171,1.244444
172,1.243704
173,1.242963
174,1.242222
175,1.241481
176,1.240741
177,1.240000
178,1.239259
179,1.238519
180,1.237778
181,1.237037
182,1.236296
183,1.235556
184,1.234815
185,1.234074
186,1.233333
187,1.232593
188,1.231852
189,1.231111
190,1.230370
191,1.229630
192,1.228889
193,1.228148
194,1.227407
195,1.226667
196,1.225926
197,1.225185
198,1.224444
199,1.223704
200,1.222963
201,1.222222
202,1.221481
203,1.220741
204,1.220000
205,1.219259
206,1.218519
207,1.217778
208,1.217037
209,1.216296
210,1.215556
211,1.214815
212,1.214074
213,1.213333
214,1.212593
215,1.211852
216,1.211111
217,1.210370
218,1.209630
219,1.208889
220,1.208148
221,1.207407
222,1.206667
223,1.205926
224,1.205185
225,1.204444
226,1.203704
227,1.202963
228,1.202222
229,1.201481
230,1.200741
231,1.200000
232,1.199259
233,1.198519
234,1.197778
235,1.197037
236,1.196296
237,1.195556
238,1.194815
239,1.194074
240,1.193333
241,1.192593
242,1.191852
243,1.191111
244,1.190370
245,1.189630
246,1.188889
247,1.188148
248,1.187407
249,1.186667
250,1.185926
251,1.185185
252,1.184444
253,1.183704
254,1.182963
255,1.182222
256,1.181481
257,1.180741
258,1.180000
259,1.179259
260,1.178519
261,1.177778
262,1.177037
263,1.176296
264,1.175556
265,1.174815
266,1.174074
267,1.173333
268,1.172593
269,1.171852
270,1.171111
271,1.170370
272,1.169630
273,1.168889
274,1.168148
275,1.167407
276,1.166667
277,1.165926
278,1.165185
279,1.164444
280,1.163704
281,1.162963
282,1.162222
283,1.161481
284,1.160741
285,1.160000
286,1.159259
287,1.158519
288,1.157778
289,1.157037
290,1.156296
291,1.155556
292,1.154815
293,1.154074
294,1.153333
295,1.152593
296,1.151852
297,1.151111
298,1.150370
299,1.149630
300,1.148889
301,1.148148
302,1.147407
303,1.146667
304,1.145926
305,1.145185
306,1.144444
307,1.143704
308,1.142963
309,1.142222
310,1.141481
311,1.140741
312,1.140000
313,1.139259
314,1.138519
315,1.137778
316,1.137037
317,1.136296
318,1.135556
319,1.134815
320,1.134074
321,1.133333
322,1.132593
323,1.131852
324,1.131111
325,1.130370
326,1.129630
327,1.128889
328,1.128148
329,1.127407
330,1.126667
331,1.125926
332,1.125185
333,1.124444
334,1.123704
335,1.122963
336,1.122222
337,1.121481
338,1.120741
339,1.120000
340,1.119259
341,1.118519
342,1.117778
343,1.117037
344,1.116296
345,1.115556
346,1.114815
347,1.114074
348,1.113333
349,1.112593
350,1.111852
351,1.111111
352,1.110370
353,1.109630
354,1.108889
355,1.108148
356,1.107407
357,1.106667
358,1.105926
359,1.105185
360,1.104444
361,1.103704
362,1.102963
363,1.102222
364,1.101481
365,1.100741
